Number_of_Vehicles,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Vehicle_Manoeuvre,1st_Point_of_Impact,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Damage
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Male,25,1762,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Male,20,1794,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,22,1796,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Back,Female,29,1794,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Back,Male,66,3248,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,20,1360,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,52,2389,Light
2,Dual carriageway,40,Daylight,Fine and high winds,Dry,Rural,Going ahead,Offside,Male,49,1364,Light
4,Single carriageway,40,Daylight,Fine no high winds,Dry,Rural,Turning,Nearside,Male,18,1753,Light
4,Single carriageway,40,Daylight,Fine no high winds,Dry,Rural,Going ahead,Front,Female,31,1995,Light
4,Single carriageway,40,Daylight,Fine no high winds,Dry,Rural,Slowing or stopping,Front,Female,52,2979,Light
4,Single carriageway,40,Daylight,Fine no high winds,Dry,Rural,Slowing or stopping,Front,Female,61,1896,Light
3,Single carriageway,30,Daylight,Snowing and high winds,Snow,Urban,Turning,Front,Male,40,1392,Light
3,Single carriageway,30,Daylight,Snowing and high winds,Snow,Urban,Going ahead,Front,Female,55,1396,Light
3,Single carriageway,30,Daylight,Snowing and high winds,Snow,Urban,Waiting,Front,Male,60,1997,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Front,Female,32,1124,Light
2,Dual carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,26,1597,Light
2,Dual carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Moving off,Front,Female,26,1299,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,67,1762,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,65,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,32,1299,Light
2,One way street,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,60,1991,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Nearside,Female,38,1400,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,21,1396,Light
3,Single carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Male,38,1119,Light
3,Single carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,23,1895,Light
3,Single carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Offside,Male,33,1587,Light
2,Dual carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,34,1995,Light
2,Single carriageway,50,Daylight,Raining and high winds,Wet or damp,Rural,Going ahead,Front,Male,44,1796,Light
2,Single carriageway,50,Daylight,Raining and high winds,Wet or damp,Rural,Going ahead,Front,Male,58,1997,Light
2,Single carriageway,30,Daylight,Snowing and high winds,Wet or damp,Urban,Waiting,Nearside,Female,37,1984,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Parked,Back,Male,24,1998,Light
2,Dual carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Front,Male,47,1998,Light
2,Dual carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,41,1598,Light
4,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Reversing,Back,Male,29,1998,Severe
4,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,28,1686,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,43,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,43,1199,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,34,1598,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Female,68,1588,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Female,32,1149,Light
2,Roundabout,40,Daylight,Fine no high winds,Wet or damp,Rural,Going ahead,Offside,Male,45,5480,Light
2,Roundabout,40,Daylight,Fine no high winds,Wet or damp,Rural,Going ahead,Nearside,Female,33,1389,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,26,1527,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Female,44,1796,Light
4,Single carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,57,12600,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,29,1896,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Male,24,1990,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Rural,Going ahead,Front,Male,35,1396,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Rural,Waiting,Front,Female,43,1390,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Female,22,1364,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,45,2295,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,50,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,18,1388,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Back,Male,35,1390,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,29,1108,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Parked,Front,Female,31,1119,Light
2,Roundabout,30,Daylight,Fine no high winds,Wet or damp,Urban,Slowing or stopping,Front,Male,37,1324,Light
2,Roundabout,30,Daylight,Fine no high winds,Wet or damp,Urban,Slowing or stopping,Back,Female,46,1988,Light
2,Single carriageway,20,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Male,40,1587,Light
2,Single carriageway,20,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,29,2171,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Back,Male,65,1196,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,45,1590,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,22,1598,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,45,1598,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,53,1799,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,25,1386,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Nearside,Female,56,1242,Light
4,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,85,1753,Light
4,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Parked,Offside,Female,40,1598,Light
4,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Parked,Front,Female,40,1199,Light
4,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Parked,Front,Male,40,2497,Light
2,Roundabout,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,27,1796,Light
2,Roundabout,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Back,Male,62,1896,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Male,30,1299,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,30,1598,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,40,1588,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Waiting,Back,Female,30,1397,Light
2,Single carriageway,30,Darkness lights lit,Snowing and high winds,Frost or ice,Urban,Going ahead,Front,Male,33,2171,Light
2,Dual carriageway,70,Daylight,Fine no high winds,Dry,Rural,Going ahead,Front,Female,45,1498,Light
3,Roundabout,40,Daylight,Fine no high winds,Dry,Rural,Moving off,Front,Female,30,1390,Light
3,Roundabout,40,Daylight,Fine no high winds,Dry,Rural,Waiting,Back,Female,29,2198,Light
3,Roundabout,40,Daylight,Fine no high winds,Dry,Rural,Waiting,Back,Male,28,1461,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,30,1905,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,30,1598,Light
3,Single carriageway,40,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Female,18,1527,Light
3,Single carriageway,40,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,32,2283,Light
3,Single carriageway,40,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,53,2497,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,24,1896,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Male,29,1596,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Front,Female,43,1124,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Front,Male,30,11705,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,47,1870,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,23,3600,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,24,1388,Severe
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Parked,Offside,Female,39,1596,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Overtaking,Front,Male,30,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Back,Male,52,2402,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Male,21,1998,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,21,1360,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Rural,Going ahead,Front,Male,36,1598,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Rural,Going ahead,Front,Female,47,1242,Light
2,Single carriageway,30,Darkness lights lit,Raining and high winds,Wet or damp,Urban,Waiting,Back,Female,35,1997,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Back,Male,45,1896,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Male,33,1124,Severe
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,55,2446,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,32,1968,Light
2,Slip road,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,27,1229,Light
2,Slip road,30,Daylight,Fine no high winds,Wet or damp,Urban,Slowing or stopping,Back,Male,33,1794,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Female,64,1149,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,38,1997,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Nearside,Male,60,1587,Light
2,Single carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Female,24,1388,Light
2,Single carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,41,1490,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,23,1396,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Female,26,1870,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,57,2435,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,61,2198,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,61,1390,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Changing lane,Nearside,Male,21,5880,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Offside,Female,26,1242,Light
2,Single carriageway,30,Daylight,Raining and high winds,Wet or damp,Urban,Going ahead,Front,Male,36,1997,Light
2,Single carriageway,30,Daylight,Raining and high winds,Wet or damp,Urban,Going ahead,Nearside,Male,31,1762,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,22,1299,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,53,2664,Light
3,Single carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,26,1389,Light
3,Single carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Female,23,1124,Light
3,Single carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Male,59,1597,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Offside,Female,19,1598,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Moving off,Front,Male,37,1910,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Female,38,1984,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Offside,Female,57,2496,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Offside,Male,29,1896,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Rural,Going ahead,Nearside,Male,39,3908,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Offside,Male,56,1798,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,21,1397,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Nearside,Male,37,1910,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,32,1910,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,21,1468,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,30,1753,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Back,Male,33,1896,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,U turn,Offside,Female,28,1997,Light
5,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,31,1990,Light
5,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,45,1242,Light
5,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,33,1598,Light
5,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,51,1242,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Slowing or stopping,Front,Male,40,1598,Light
3,Single carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,34,1686,Light
3,Single carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Female,40,1975,Light
2,Single carriageway,40,Daylight,Raining no high winds,Wet or damp,Rural,Waiting,Front,Male,31,4250,Light
2,Single carriageway,40,Daylight,Raining no high winds,Wet or damp,Rural,Going ahead,Offside,Female,69,1339,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Female,29,1587,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Back,Female,45,1242,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,67,1560,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,22,1199,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,49,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,32,1995,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Offside,Male,30,1995,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,40,1597,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,46,1149,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Reversing,Back,Male,40,1870,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Front,Female,35,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,81,2493,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Back,Male,40,2088,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,50,1389,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,91,1399,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Female,42,1597,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,20,1199,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Parked,Back,Male,39,1596,Light
2,One way street,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,44,1396,Light
